caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-01-01 00:57:52,2011-01-01 00:57:52,Create Purchase Requisition
Case1,Create Purchase Requisition,2011-01-01 00:57:52,2011-01-01 01:24:52,Create Purchase Requisition
Case1,Create Request for Quotation,2011-01-01 05:45:52,2011-01-01 06:00:52,Create Request for Quotation
Case1,Analyze Request for Quotation,2011-01-01 23:11:52,2011-01-01 23:33:52,Analyze Request for Quotation
Case1,Send Request for Quotation to Supplier,2011-01-02 21:16:52,2011-01-02 21:44:52,Send Request for Quotation to Supplier
Case1,Create Quotation comparison Map,2011-01-03 05:21:52,2011-01-03 07:39:52,Create Quotation comparison Map
Case1,Analyze Quotation Comparison Map,2011-01-03 13:57:52,2011-01-03 14:26:52,Analyze Quotation Comparison Map
Case1,Choose best option,2011-01-03 14:26:52,2011-01-03 14:26:52,Choose best option
Case1,Settle Conditions With Supplier,2011-01-03 16:29:52,2011-01-04 04:29:52,Settle Conditions With Supplier
Case1,Create Purchase Order,2011-01-04 13:28:52,2011-01-04 13:36:52,Create Purchase Order
Case1,Confirm Purchase Order,2011-01-05 11:05:52,2011-01-05 11:25:52,Confirm Purchase Order
Case1,Deliver Goods Services,2011-01-06 18:45:52,2011-01-08 00:09:52,Deliver Goods Services
Case1,Release Purchase Order,2011-01-08 08:11:52,2011-01-08 08:12:52,Release Purchase Order
Case1,Approve Purchase Order for payment,2011-01-08 12:47:52,2011-01-08 12:48:52,Approve Purchase Order for payment
Case1,Send Invoice,2011-01-11 12:23:52,2011-01-11 12:23:52,Send Invoice
Case1,Release Supplier's Invoice,2011-01-12 02:45:52,2011-01-12 02:49:52,Release Supplier's Invoice
Case1,Authorize Supplier's Invoice payment,2011-01-12 02:49:52,2011-01-12 02:49:52,Authorize Supplier's Invoice payment
Case1,Pay Invoice,2011-01-12 03:51:52,2011-01-12 04:02:52,Pay Invoice
Case1,End,2011-01-12 04:02:52,2011-01-12 04:02:52,End
Case2,Start,2011-01-01 11:17:36,2011-01-01 11:17:36,Create Purchase Requisition
Case2,Create Purchase Requisition,2011-01-01 11:17:36,2011-01-01 11:34:36,Create Purchase Requisition
Case2,Analyze Purchase Requisition,2011-01-01 21:56:36,2011-01-01 22:03:36,Analyze Purchase Requisition
Case2,Create Request for Quotation,2011-01-01 22:06:36,2011-01-01 22:08:36,Create Request for Quotation
Case2,Analyze Request for Quotation,2011-01-01 22:58:36,2011-01-01 23:25:36,Analyze Request for Quotation
Case2,Send Request for Quotation to Supplier,2011-01-02 23:45:36,2011-01-03 00:12:36,Send Request for Quotation to Supplier
Case2,Create Quotation comparison Map,2011-01-03 00:40:36,2011-01-03 02:15:36,Create Quotation comparison Map
Case2,Analyze Quotation Comparison Map,2011-01-03 08:23:36,2011-01-03 08:31:36,Analyze Quotation Comparison Map
Case2,Choose best option,2011-01-03 08:31:36,2011-01-03 08:31:36,Choose best option
Case2,Settle Conditions With Supplier,2011-01-05 10:07:36,2011-01-05 22:59:36,Settle Conditions With Supplier
Case2,Create Purchase Order,2011-01-06 04:59:36,2011-01-06 05:08:36,Create Purchase Order
Case2,Confirm Purchase Order,2011-01-06 22:27:36,2011-01-06 22:34:36,Confirm Purchase Order
Case2,Deliver Goods Services,2011-01-08 05:23:36,2011-01-09 19:50:36,Deliver Goods Services
Case2,Release Purchase Order,2011-01-10 03:09:36,2011-01-10 03:10:36,Release Purchase Order
Case2,Approve Purchase Order for payment,2011-01-10 13:09:36,2011-01-10 13:10:36,Approve Purchase Order for payment
Case2,Send Invoice,2011-01-15 11:23:36,2011-01-15 11:23:36,Send Invoice
Case2,Release Supplier's Invoice,2011-01-16 01:44:36,2011-01-16 01:47:36,Release Supplier's Invoice
Case2,Settle Dispute With Supplier,2011-01-16 02:14:36,2011-01-16 02:39:36,Settle Dispute With Supplier
Case2,Authorize Supplier's Invoice payment,2011-01-16 02:39:36,2011-01-16 02:39:36,Authorize Supplier's Invoice payment
Case2,Pay Invoice,2011-01-16 03:07:36,2011-01-16 03:20:36,Pay Invoice
Case2,End,2011-01-16 03:20:36,2011-01-16 03:20:36,End
Case3,Start,2011-01-06 04:58:18,2011-01-06 04:58:18,Create Purchase Requisition
